"DEPARTMENT","Time.to.resolution","month","year","area","year.mo"
"SANITATION",3,11,2021,"D",202111
"SANITATION",3,11,2021,"W",202111
"GROUNDS",44,11,2021,"W",202111
"SANITATION",2,11,2021,"D",202111
"GROUNDS",25,11,2021,"D",202111
"SANITATION",0,2,2022,"W",202202
"SANITATION",1,2,2022,"W",202202
"SANITATION",1,2,2022,"W",202202
"SANITATION",0,2,2022,"W",202202
"SANITATION",0,2,2022,"LSU",202202
"SANITATION",0,2,2022,"W",202202
"GROUNDS",18,2,2022,"N",202202
"SANITATION",0,2,2022,"W",202202
"SANITATION",3,2,2022,"LSU",202202
"GROUNDS",552,5,2020,"W",202005
"GROUNDS",537,5,2020,"W",202005
"GROUNDS",537,5,2020,"W",202005
"GROUNDS",339,12,2020,"D",202012
"GROUNDS",339,12,2020,"LSU",202012
"GROUNDS",311,1,2021,"LSU",202101
"GROUNDS",298,1,2021,"LSU",202101
"GROUNDS",298,1,2021,"LSU",202101
"GROUNDS",285,2,2021,"LSU",202102
"GROUNDS",257,3,2021,"D",202103
"GROUNDS",257,3,2021,"LSU",202103
"GROUNDS",245,3,2021,"LSU",202103
"GROUNDS",243,3,2021,"D",202103
"GROUNDS",242,3,2021,"LSU",202103
"GROUNDS",237,3,2021,"LSU",202103
"GROUNDS",230,3,2021,"D",202103
"GROUNDS",220,4,2021,"LSU",202104
"GROUNDS",212,4,2021,"W",202104
"GROUNDS",202,4,2021,"D",202104
"GROUNDS",199,4,2021,"LSU",202104
"GROUNDS",199,4,2021,"LSU",202104
"GROUNDS",199,4,2021,"D",202104
"GROUNDS",194,5,2021,"W",202105
"GROUNDS",193,5,2021,"LSU",202105
"GROUNDS",181,5,2021,"D",202105
"GROUNDS",181,5,2021,"D",202105
"GROUNDS",181,5,2021,"LSU",202105
"GROUNDS",178,5,2021,"D",202105
"GROUNDS",166,6,2021,"LSU",202106
"GROUNDS",158,6,2021,"W",202106
"GROUNDS",158,6,2021,"D",202106
"GROUNDS",158,6,2021,"D",202106
"GROUNDS",146,6,2021,"W",202106
"GROUNDS",143,6,2021,"W",202106
"GROUNDS",142,6,2021,"W",202106
"GROUNDS",136,7,2021,"W",202107
"GROUNDS",144,6,2021,"W",202106
"GROUNDS",129,7,2021,"D",202107
"GROUNDS",129,7,2021,"LSU",202107
"GROUNDS",126,7,2021,"W",202107
"GROUNDS",121,7,2021,"D",202107
"GROUNDS",118,7,2021,"W",202107
"GROUNDS",115,7,2021,"LSU",202107
"GROUNDS",113,7,2021,"D",202107
"GROUNDS",105,8,2021,"LSU",202108
"GROUNDS",103,8,2021,"W",202108
"GROUNDS",102,8,2021,"W",202108
"GROUNDS",102,8,2021,"D",202108
"GROUNDS",101,8,2021,"W",202108
"GROUNDS",97,8,2021,"LSU",202108
"GROUNDS",96,8,2021,"W",202108
"GROUNDS",93,8,2021,"D",202108
"GROUNDS",90,8,2021,"D",202108
"GROUNDS",83,8,2021,"D",202108
"GROUNDS",84,8,2021,"LSU",202108
"GROUNDS",83,8,2021,"D",202108
"GROUNDS",79,8,2021,"W",202108
"GROUNDS",67,9,2021,"LSU",202109
"GROUNDS",60,9,2021,"D",202109
"GROUNDS",55,9,2021,"LSU",202109
"GROUNDS",55,9,2021,"LSU",202109
"GROUNDS",48,9,2021,"W",202109
"GROUNDS",48,9,2021,"LSU",202109
"GROUNDS",47,9,2021,"W",202109
"GROUNDS",47,9,2021,"W",202109
"GROUNDS",45,9,2021,"W",202109
"GROUNDS",42,10,2021,"D",202110
"GROUNDS",34,10,2021,"D",202110
"GROUNDS",32,10,2021,"D",202110
"GROUNDS",32,10,2021,"LSU",202110
"GROUNDS",31,10,2021,"LSU",202110
"GROUNDS",26,10,2021,"D",202110
"GROUNDS",27,10,2021,"LSU",202110
"SANITATION",21,10,2021,"LSU",202110
"SANITATION",17,10,2021,"LSU",202110
"SANITATION",16,10,2021,"N",202110
"GROUNDS",15,10,2021,"D",202110
"SANITATION",2,11,2021,"N",202111
"SANITATION",2,11,2021,"D",202111
"SANITATION",2,11,2021,"W",202111
"SANITATION",3,11,2021,"N",202111
"SANITATION",3,11,2021,"D",202111
"SANITATION",3,11,2021,"N",202111
"SANITATION",3,11,2021,"LSU",202111
"SANITATION",3,11,2021,"D",202111
"SANITATION",3,11,2021,"W",202111
"GROUNDS",7,11,2021,"D",202111
"SANITATION",5,11,2021,"W",202111
"SANITATION",2,11,2021,"W",202111
"SANITATION",0,2,2022,"W",202202
"SANITATION",0,11,2021,"W",202111
"SANITATION",3,11,2021,"W",202111
"SANITATION",0,11,2021,"W",202111
"GROUNDS",42,11,2021,"W",202111
"SANITATION",0,11,2021,"W",202111
"GROUNDS",9,11,2021,"W",202111
"SANITATION",0,11,2021,"W",202111
"SANITATION",16,11,2021,"LSU",202111
"SANITATION",0,11,2021,"W",202111
"GROUNDS",55,11,2021,"W",202111
"GROUNDS",56,11,2021,"N",202111
"GROUNDS",5,11,2021,"D",202111
"SANITATION",0,11,2021,"W",202111
"GROUNDS",194,5,2021,"W",202105
"GROUNDS",187,5,2021,"W",202105
"GROUNDS",120,7,2021,"D",202107
"GROUNDS",112,7,2021,"W",202107
"GROUNDS",101,8,2021,"N",202108
"GROUNDS",92,8,2021,"D",202108
"GROUNDS",83,8,2021,"D",202108
"GROUNDS",78,8,2021,"D",202108
"GROUNDS",114,8,2021,"W",202108
"GROUNDS",67,9,2021,"N",202109
"GROUNDS",68,9,2021,"D",202109
"GROUNDS",54,9,2021,"D",202109
"GROUNDS",50,9,2021,"D",202109
"GROUNDS",41,10,2021,"D",202110
"SANITATION",34,10,2021,"D",202110
"SANITATION",0,11,2021,"D",202111
"SANITATION",1,11,2021,"W",202111
"SANITATION",1,11,2021,"W",202111
"GROUNDS",0,11,2021,"LSU",202111
"SANITATION",1,11,2021,"LSU",202111
"SANITATION",0,11,2021,"D",202111
"SANITATION",1,11,2021,"D",202111
"SANITATION",0,11,2021,"W",202111
"SANITATION",3,11,2021,"W",202111
"SANITATION",0,11,2021,"D",202111
"SANITATION",1,11,2021,"D",202111
"SANITATION",1,11,2021,"D",202111
"SANITATION",0,11,2021,"W",202111
"SANITATION",1,11,2021,"W",202111
"GROUNDS",68,11,2021,"W",202111
"SANITATION",2,11,2021,"W",202111
"SANITATION",1,2,2022,"N",202202
"SANITATION",0,11,2021,"D",202111
"SANITATION",0,11,2021,"D",202111
"GROUNDS",15,11,2021,"W",202111
"GROUNDS",54,11,2021,"W",202111
"SANITATION",0,11,2021,"W",202111
"SANITATION",0,11,2021,"W",202111
"SANITATION",0,11,2021,"W",202111
"SANITATION",0,11,2021,"W",202111
"SANITATION",0,11,2021,"LSU",202111
"SANITATION",0,11,2021,"D",202111
"SANITATION",3,11,2021,"W",202111
"SANITATION",3,2,2022,"W",202202
"SANITATION",3,2,2022,"W",202202
"SANITATION",2,2,2022,"D",202202
"SANITATION",0,2,2022,"LSU",202202
"SANITATION",0,2,2022,"N",202202
"GROUNDS",112,7,2021,"W",202107
"GROUNDS",91,8,2021,"N",202108
"GROUNDS",84,8,2021,"W",202108
"GROUNDS",80,8,2021,"N",202108
"GROUNDS",57,9,2021,"W",202109
"GROUNDS",58,9,2021,"W",202109
"GROUNDS",11,11,2021,"N",202111
"SANITATION",1,11,2021,"N",202111
"SANITATION",1,11,2021,"W",202111
"SANITATION",1,11,2021,"D",202111
"SANITATION",1,11,2021,"N",202111
"SANITATION",1,11,2021,"W",202111
"SANITATION",0,11,2021,"D",202111
"SANITATION",0,11,2021,"N",202111
"SANITATION",1,11,2021,"W",202111
"SANITATION",1,11,2021,"D",202111
"SANITATION",1,11,2021,"W",202111
"SANITATION",12,11,2021,"W",202111
"SANITATION",1,11,2021,"D",202111
"SANITATION",1,11,2021,"D",202111
"SANITATION",1,11,2021,"D",202111
"SANITATION",1,11,2021,"W",202111
"SANITATION",0,11,2021,"W",202111
"SANITATION",15,11,2021,"W",202111
"SANITATION",1,11,2021,"D",202111
"SANITATION",1,11,2021,"W",202111
"SANITATION",1,11,2021,"W",202111
"GROUNDS",3,11,2021,"N",202111
"GROUNDS",22,11,2021,"W",202111
"SANITATION",0,11,2021,"W",202111
"GROUNDS",33,11,2021,"D",202111
"GROUNDS",96,11,2021,"W",202111
"SANITATION",0,2,2022,"N",202202
"GROUNDS",15,11,2021,"LSU",202111
"GROUNDS",53,11,2021,"W",202111
"GROUNDS",23,11,2021,"N",202111
"SANITATION",2,11,2021,"W",202111
"GROUNDS",15,11,2021,"LSU",202111
"GROUNDS",19,11,2021,"D",202111
"SANITATION",0,11,2021,"D",202111
"GROUNDS",48,11,2021,"W",202111
"SANITATION",0,11,2021,"N",202111
"SANITATION",0,2,2022,"W",202202
"GROUNDS",95,11,2021,"W",202111
"SANITATION",0,11,2021,"N",202111
"GROUNDS",222,5,2021,"D",202105
"GROUNDS",233,7,2021,"N",202107
"SANITATION",35,10,2021,"W",202110
"SANITATION",4,11,2021,"N",202111
"SANITATION",1,11,2021,"W",202111
"SANITATION",1,11,2021,"LSU",202111
"SANITATION",1,11,2021,"W",202111
"SANITATION",0,11,2021,"W",202111
"SANITATION",0,11,2021,"W",202111
"SANITATION",1,11,2021,"D",202111
"SANITATION",6,11,2021,"LSU",202111
"GROUNDS",20,11,2021,"N",202111
"GROUNDS",19,11,2021,"D",202111
"GROUNDS",105,11,2021,"D",202111
"SANITATION",5,11,2021,"W",202111
"SANITATION",0,11,2021,"D",202111
"GROUNDS",20,11,2021,"N",202111
"SANITATION",0,11,2021,"N",202111
"GROUNDS",20,11,2021,"N",202111
"GROUNDS",21,11,2021,"N",202111
"GROUNDS",21,11,2021,"N",202111
"GROUNDS",52,11,2021,"W",202111
"SANITATION",0,11,2021,"N",202111
"GROUNDS",200,8,2021,"N",202108
"GROUNDS",20,11,2021,"N",202111
"GROUNDS",20,11,2021,"N",202111
"SANITATION",14,11,2021,"D",202111
"GROUNDS",74,11,2021,"W",202111
"SANITATION",0,11,2021,"N",202111
"GROUNDS",92,11,2021,"W",202111
"SANITATION",5,11,2021,"W",202111
"GROUNDS",20,11,2021,"N",202111
"SANITATION",0,2,2022,"D",202202
"SANITATION",0,2,2022,"N",202202
"SANITATION",1,2,2022,"W",202202
"SANITATION",1,2,2022,"W",202202
"SANITATION",1,2,2022,"D",202202
"SANITATION",0,2,2022,"W",202202
"SANITATION",2,2,2022,"LSU",202202
"GROUNDS",158,6,2021,"D",202106
"GROUNDS",150,6,2021,"D",202106
"GROUNDS",86,8,2021,"D",202108
"GROUNDS",57,9,2021,"D",202109
"GROUNDS",44,10,2021,"D",202110
"GROUNDS",24,10,2021,"D",202110
"SANITATION",1,11,2021,"D",202111
"SANITATION",1,11,2021,"D",202111
"SANITATION",1,11,2021,"N",202111
"SANITATION",0,11,2021,"D",202111
"SANITATION",15,11,2021,"W",202111
"SANITATION",0,11,2021,"D",202111
"SANITATION",1,11,2021,"D",202111
"GROUNDS",0,11,2021,"D",202111
"SANITATION",4,11,2021,"W",202111
"GROUNDS",32,11,2021,"D",202111
"SANITATION",3,11,2021,"W",202111
"GROUNDS",154,6,2021,"LSU",202106
"GROUNDS",123,7,2021,"LSU",202107
"GROUNDS",122,7,2021,"D",202107
"GROUNDS",112,7,2021,"LSU",202107
"GROUNDS",59,9,2021,"LSU",202109
"GROUNDS",59,9,2021,"LSU",202109
"GROUNDS",53,9,2021,"LSU",202109
"GROUNDS",41,10,2021,"D",202110
"GROUNDS",36,10,2021,"LSU",202110
"GROUNDS",27,10,2021,"LSU",202110
"GROUNDS",26,10,2021,"LSU",202110
"SANITATION",12,11,2021,"LSU",202111
"SANITATION",3,11,2021,"D",202111
"GROUNDS",48,11,2021,"LSU",202111
"SANITATION",0,2,2022,"D",202202
"SANITATION",1,2,2022,"LSU",202202
"GROUNDS",22,11,2021,"LSU",202111
"GROUNDS",64,11,2021,"D",202111
"GROUNDS",220,7,2021,"D",202107
"SANITATION",1,2,2022,"W",202202
"SANITATION",1,2,2022,"D",202202
"SANITATION",1,2,2022,"D",202202
"SANITATION",1,2,2022,"LSU",202202
"SANITATION",1,2,2022,"D",202202
"SANITATION",0,2,2022,"W",202202
"SANITATION",0,2,2022,"LSU",202202
"SANITATION",1,2,2022,"LSU",202202
"SANITATION",0,2,2022,"W",202202
"SANITATION",0,2,2022,"W",202202
"SANITATION",0,2,2022,"W",202202
"SANITATION",0,2,2022,"D",202202
"SANITATION",0,2,2022,"D",202202
"SANITATION",0,2,2022,"W",202202
"SANITATION",1,2,2022,"D",202202
"SANITATION",0,2,2022,"W",202202
"SANITATION",0,2,2022,"W",202202
"SANITATION",1,2,2022,"D",202202
"GROUNDS",1,2,2022,"LSU",202202
"SANITATION",0,2,2022,"W",202202
"SANITATION",0,2,2022,"D",202202
"SANITATION",1,2,2022,"W",202202
"GROUNDS",1,2,2022,"W",202202
"SANITATION",1,2,2022,"N",202202
"SANITATION",1,2,2022,"N",202202
"GROUNDS",1,2,2022,"LSU",202202
"GROUNDS",1,2,2022,"LSU",202202
"SANITATION",1,2,2022,"D",202202
"SANITATION",0,2,2022,"N",202202
"SANITATION",0,2,2022,"D",202202
"SANITATION",0,2,2022,"D",202202
"SANITATION",4,2,2022,"D",202202
"SANITATION",2,9,2021,"D",202109
"SANITATION",4,9,2021,"W",202109
"GROUNDS",23,9,2021,"D",202109
"SANITATION",12,9,2021,"N",202109
"SANITATION",0,9,2021,"D",202109
"SANITATION",10,9,2021,"D",202109
"SANITATION",0,9,2021,"W",202109
"SANITATION",0,9,2021,"W",202109
"SANITATION",3,9,2021,"W",202109
"GROUNDS",47,9,2021,"W",202109
"SANITATION",12,9,2021,"D",202109
"SANITATION",13,9,2021,"N",202109
"GROUNDS",73,9,2021,"LSU",202109
"GROUNDS",176,9,2021,"N",202109
"GROUNDS",61,9,2021,"N",202109
"SANITATION",14,9,2021,"W",202109
"SANITATION",11,9,2021,"D",202109
"SANITATION",19,9,2021,"W",202109
"SANITATION",2,9,2021,"D",202109
"SANITATION",13,9,2021,"W",202109
"SANITATION",1,9,2021,"W",202109
"SANITATION",13,9,2021,"W",202109
"SANITATION",14,9,2021,"N",202109
"SANITATION",14,9,2021,"D",202109
"SANITATION",9,9,2021,"N",202109
"SANITATION",0,9,2021,"D",202109
"GROUNDS",75,9,2021,"LSU",202109
"SANITATION",12,9,2021,"D",202109
"SANITATION",1,9,2021,"D",202109
"SANITATION",13,9,2021,"D",202109
"SANITATION",0,9,2021,"W",202109
"SANITATION",0,9,2021,"N",202109
"GROUNDS",38,9,2021,"W",202109
"SANITATION",13,9,2021,"W",202109
"SANITATION",1,9,2021,"W",202109
"SANITATION",0,9,2021,"D",202109
"SANITATION",12,9,2021,"D",202109
"SANITATION",12,9,2021,"D",202109
"GROUNDS",117,9,2021,"W",202109
"SANITATION",0,9,2021,"N",202109
"SANITATION",0,9,2021,"LSU",202109
"GROUNDS",160,9,2021,"W",202109
"SANITATION",14,9,2021,"D",202109
"GROUNDS",19,9,2021,"N",202109
"GROUNDS",73,9,2021,"W",202109
"GROUNDS",74,9,2021,"W",202109
"GROUNDS",20,9,2021,"N",202109
"SANITATION",12,9,2021,"D",202109
"GROUNDS",106,9,2021,"W",202109
"SANITATION",13,9,2021,"LSU",202109
"SANITATION",13,9,2021,"D",202109
"SANITATION",10,9,2021,"W",202109
"GROUNDS",0,9,2021,"W",202109
"SANITATION",0,9,2021,"LSU",202109
"SANITATION",3,9,2021,"D",202109
"SANITATION",12,9,2021,"N",202109
"SANITATION",14,9,2021,"N",202109
"GROUNDS",24,9,2021,"D",202109
