"Time.to.resolution","DEPARTMENT","area","TYPEid","month","year"
8,"SANITATION","LSU",173024,2,-2
5,"SANITATION","D",173024,2,-2
3,"SANITATION","D",173024,2,-2
1,"SANITATION","N",173024,2,-2
1,"SANITATION","W",173024,2,-2
1,"SANITATION","W",173024,2,-2
1,"SANITATION","LSU",173024,2,-2
1,"SANITATION","W",173024,3,-2
3,"SANITATION","N",173027,3,-2
6,"SANITATION","W",173024,3,-2
8,"SANITATION","D",173024,3,-2
4,"SANITATION","N",173024,3,-2
4,"SANITATION","W",173024,3,-2
1,"SANITATION","W",173024,3,-2
2,"SANITATION","N",173024,3,-2
2,"SANITATION","W",173024,3,-2
4,"SANITATION","N",173024,3,-2
4,"SANITATION","W",173024,3,-2
4,"SANITATION","LSU",173024,3,-2
3,"SANITATION","W",173024,3,-2
3,"SANITATION","W",173024,3,-2
1,"SANITATION","W",173024,3,-2
2,"SANITATION","LSU",173024,3,-2
1,"SANITATION","W",173027,3,-2
1,"SANITATION","W",173024,3,-2
6,"SANITATION","D",173024,3,-2
4,"SANITATION","W",173024,3,-2
4,"SANITATION","LSU",173024,3,-2
1,"SANITATION","D",173024,3,-2
1,"SANITATION","W",173024,3,-2
3,"SANITATION","W",173024,4,-2
2,"SANITATION","LSU",173024,4,-2
2,"SANITATION","W",173024,4,-2
2,"SANITATION","W",173024,4,-2
4,"SANITATION","N",173024,4,-2
1,"SANITATION","LSU",173024,4,-2
2,"SANITATION","D",173024,4,-2
4,"SANITATION","D",173024,4,-2
4,"SANITATION","W",173024,4,-2
5,"SANITATION","D",173024,4,-2
4,"SANITATION","W",173024,4,-2
3,"SANITATION","D",173024,4,-2
1,"SANITATION","D",173024,4,-2
2,"SANITATION","W",173024,4,-2
1,"SANITATION","W",173027,4,-2
1,"SANITATION","W",173024,4,-2
1,"SANITATION","N",173024,4,-2
5,"SANITATION","W",173024,4,-2
3,"SANITATION","W",173024,4,-2
2,"SANITATION","W",173024,4,-2
1,"SANITATION","W",173024,4,-2
1,"SANITATION","W",173024,4,-2
2,"SANITATION","LSU",173024,4,-2
3,"SANITATION","W",173024,4,-2
2,"SANITATION","N",173024,5,-2
1,"SANITATION","D",173024,5,-2
4,"SANITATION","N",173024,5,-2
4,"SANITATION","W",173024,5,-2
4,"SANITATION","D",173024,5,-2
3,"SANITATION","N",173024,5,-2
4,"SANITATION","W",173024,5,-2
3,"SANITATION","W",173024,5,-2
3,"SANITATION","LSU",173024,5,-2
2,"SANITATION","W",173024,5,-2
2,"SANITATION","LSU",173024,5,-2
2,"SANITATION","N",173024,5,-2
2,"SANITATION","D",173024,5,-2
2,"SANITATION","W",173024,5,-2
1,"SANITATION","W",173024,5,-2
3,"SANITATION","D",173024,5,-2
3,"SANITATION","W",173024,5,-2
7,"SANITATION","D",173024,5,-2
1,"SANITATION","LSU",173024,5,-2
5,"SANITATION","N",173024,5,-2
5,"SANITATION","D",173024,5,-2
6,"SANITATION","LSU",173024,5,-2
6,"SANITATION","W",173024,5,-2
4,"SANITATION","LSU",173024,5,-2
7,"SANITATION","N",173024,5,-2
7,"SANITATION","W",173024,5,-2
13,"SANITATION","W",173024,6,-2
2,"SANITATION","D",173024,6,-2
8,"SANITATION","W",173024,6,-2
3,"SANITATION","D",173027,6,-2
3,"SANITATION","N",173024,6,-2
3,"SANITATION","LSU",173024,6,-2
2,"SANITATION","D",173024,6,-2
1,"SANITATION","W",173024,6,-2
2,"SANITATION","D",173024,6,-2
2,"SANITATION","LSU",173024,6,-2
2,"SANITATION","N",173024,6,-2
4,"SANITATION","D",173024,6,-2
1,"SANITATION","W",173024,6,-2
4,"SANITATION","W",173024,6,-2
2,"SANITATION","W",173024,6,-2
2,"SANITATION","D",173027,6,-2
1,"SANITATION","W",173024,6,-2
1,"SANITATION","LSU",173024,6,-2
8,"SANITATION","N",173024,6,-2
2,"SANITATION","N",173024,6,-2
1,"SANITATION","LSU",173024,6,-2
3,"SANITATION","W",173024,6,-2
34,"SANITATION","W",173024,6,-2
2,"SANITATION","W",173024,6,-2
2,"SANITATION","W",173024,6,-2
1,"SANITATION","LSU",173027,6,-2
5,"SANITATION","D",173024,6,-2
5,"SANITATION","W",173024,6,-2
4,"SANITATION","LSU",173024,7,-2
5,"SANITATION","D",173024,7,-2
2,"SANITATION","D",173024,7,-2
2,"SANITATION","N",173024,7,-2
2,"SANITATION","LSU",173024,7,-2
3,"SANITATION","N",173024,7,-2
1,"SANITATION","W",173024,7,-2
1,"SANITATION","W",173024,7,-2
7,"SANITATION","W",173024,7,-2
3,"SANITATION","N",173024,7,-2
3,"SANITATION","W",173024,7,-2
2,"SANITATION","D",173024,7,-2
2,"SANITATION","W",173024,7,-2
1,"SANITATION","LSU",173024,7,-2
1,"SANITATION","W",173024,7,-2
5,"SANITATION","D",173024,7,-2
5,"SANITATION","W",173027,7,-2
6,"SANITATION","LSU",173024,7,-2
4,"SANITATION","W",173024,7,-2
3,"SANITATION","W",173024,7,-2
4,"SANITATION","D",173027,7,-2
4,"SANITATION","W",173024,7,-2
4,"SANITATION","W",173024,7,-2
7,"SANITATION","W",173024,7,-2
4,"SANITATION","W",173024,8,-2
4,"SANITATION","LSU",173024,8,-2
3,"SANITATION","N",173024,8,-2
3,"SANITATION","W",173024,8,-2
2,"SANITATION","D",173024,8,-2
2,"SANITATION","W",173024,8,-2
5,"SANITATION","W",173024,8,-2
1,"SANITATION","D",173024,8,-2
2,"SANITATION","N",173024,8,-2
29,"SANITATION","D",173024,8,-2
1,"SANITATION","W",173027,8,-2
29,"SANITATION","N",173024,8,-2
1,"SANITATION","W",173024,8,-2
28,"SANITATION","W",173024,8,-2
27,"SANITATION","D",173024,8,-2
27,"SANITATION","D",173027,8,-2
21,"SANITATION","N",173024,8,-2
14,"SANITATION","W",173024,8,-2
13,"SANITATION","D",173024,8,-2
11,"SANITATION","W",173027,8,-2
10,"SANITATION","W",173024,8,-2
10,"SANITATION","LSU",173024,8,-2
9,"SANITATION","W",173027,8,-2
9,"SANITATION","W",173024,8,-2
8,"SANITATION","W",173024,8,-2
8,"SANITATION","N",173024,8,-2
7,"SANITATION","W",173027,9,-2
7,"SANITATION","W",173024,9,-2
7,"SANITATION","N",173024,9,-2
6,"SANITATION","W",173024,9,-2
3,"SANITATION","W",173024,9,-2
3,"SANITATION","W",173027,9,-2
3,"SANITATION","W",173027,9,-2
2,"SANITATION","D",173024,9,-2
2,"SANITATION","W",173024,9,-2
5,"SANITATION","W",173024,9,-2
4,"SANITATION","LSU",173024,9,-2
4,"SANITATION","D",173024,9,-2
4,"SANITATION","W",173024,9,-2
3,"SANITATION","W",173027,9,-2
3,"SANITATION","W",173027,9,-2
3,"SANITATION","W",173024,9,-2
2,"SANITATION","D",173024,9,-2
2,"SANITATION","N",173023,9,-2
14,"SANITATION","D",173024,9,-2
19,"SANITATION","W",173024,9,-2
14,"SANITATION","D",173024,9,-2
13,"SANITATION","W",173027,9,-2
13,"SANITATION","N",173024,9,-2
9,"SANITATION","LSU",173027,9,-2
9,"SANITATION","W",173023,9,-2
8,"SANITATION","N",173024,9,-2
8,"SANITATION","LSU",173027,9,-2
8,"SANITATION","D",173024,9,-2
7,"SANITATION","N",173024,9,-2
7,"SANITATION","N",173027,9,-2
7,"SANITATION","N",173024,9,-2
3,"SANITATION","D",173024,9,-2
3,"SANITATION","W",173024,9,-2
2,"SANITATION","N",173024,9,-2
1,"SANITATION","N",173024,9,-2
7,"SANITATION","W",173027,9,-2
7,"SANITATION","D",173024,9,-2
4,"SANITATION","N",173024,10,-2
4,"SANITATION","LSU",173027,10,-2
4,"SANITATION","W",173024,10,-2
3,"SANITATION","LSU",173024,10,-2
3,"SANITATION","W",173027,10,-2
3,"SANITATION","W",173024,10,-2
2,"SANITATION","LSU",173024,10,-2
2,"SANITATION","W",173024,10,-2
1,"SANITATION","W",173033,10,-2
34,"SANITATION","W",173024,10,-2
7,"SANITATION","D",173024,10,-2
18,"SANITATION","W",173027,10,-2
6,"SANITATION","W",173024,10,-2
5,"SANITATION","D",173024,10,-2
14,"SANITATION","W",173024,10,-2
13,"SANITATION","W",173024,10,-2
1,"SANITATION","W",173024,10,-2
13,"SANITATION","W",173027,10,-2
12,"SANITATION","W",173024,10,-2
12,"SANITATION","N",173024,10,-2
12,"SANITATION","LSU",173024,10,-2
12,"SANITATION","N",173024,10,-2
11,"SANITATION","N",173024,10,-2
11,"SANITATION","N",173024,10,-2
10,"SANITATION","N",173027,10,-2
10,"SANITATION","LSU",173024,10,-2
10,"SANITATION","W",173027,10,-2
7,"SANITATION","W",173024,10,-2
6,"SANITATION","W",173024,10,-2
6,"SANITATION","W",173027,10,-2
6,"SANITATION","W",173024,10,-2
5,"SANITATION","W",173024,10,-2
4,"SANITATION","W",173027,10,-2
4,"SANITATION","W",173024,10,-2
4,"SANITATION","D",173027,10,-2
7,"SANITATION","LSU",173024,10,-2
9,"SANITATION","W",173024,10,-2
2,"SANITATION","D",173024,10,-2
7,"SANITATION","W",173027,10,-2
6,"SANITATION","W",173024,10,-2
6,"SANITATION","D",173024,10,-2
6,"SANITATION","W",173024,10,-2
2,"SANITATION","D",173027,10,-2
2,"SANITATION","LSU",173024,10,-2
8,"SANITATION","LSU",173024,10,-2
14,"SANITATION","W",173024,10,-2
5,"SANITATION","D",173024,10,-2
5,"SANITATION","D",173027,10,-2
4,"SANITATION","W",173024,10,-2
1,"SANITATION","D",173027,10,-2
9,"SANITATION","D",173024,10,-2
2,"SANITATION","W",173024,11,-2
4,"SANITATION","W",173024,11,-2
1,"SANITATION","D",173024,11,-2
4,"SANITATION","N",173027,11,-2
3,"SANITATION","D",173024,11,-2
1,"SANITATION","D",173024,11,-2
2,"SANITATION","LSU",173024,11,-2
8,"SANITATION","W",173027,11,-2
1,"SANITATION","W",173027,11,-2
2,"SANITATION","W",173027,11,-2
1,"SANITATION","W",173027,11,-2
5,"SANITATION","D",173027,11,-2
3,"SANITATION","W",173024,11,-2
2,"SANITATION","LSU",173027,11,-2
6,"SANITATION","W",173024,11,-2
1,"SANITATION","N",173027,11,-2
2,"SANITATION","N",173027,11,-2
1,"SANITATION","W",173027,11,-2
2,"SANITATION","W",173024,11,-2
3,"SANITATION","LSU",173024,12,-2
3,"SANITATION","D",173024,12,-2
2,"SANITATION","D",173024,12,-2
2,"SANITATION","W",173024,12,-2
4,"SANITATION","N",173024,12,-2
1,"SANITATION","W",173033,12,-2
2,"SANITATION","W",173024,12,-2
1,"SANITATION","D",173024,12,-2
6,"SANITATION","D",173024,12,-2
2,"SANITATION","D",173027,12,-2
3,"SANITATION","W",173024,12,-2
2,"SANITATION","W",173024,12,-2
1,"SANITATION","W",173024,12,-2
2,"SANITATION","LSU",173024,12,-2
1,"SANITATION","W",173033,12,-2
3,"SANITATION","D",173024,12,-2
1,"SANITATION","W",173027,12,-2
1,"SANITATION","D",173024,12,-2
2,"SANITATION","W",173024,12,-2
1,"SANITATION","W",173027,12,-2
7,"SANITATION","D",173024,12,-2
1,"SANITATION","W",173024,12,-2
2,"SANITATION","D",173024,12,-2
1,"SANITATION","D",173024,12,-2
2,"SANITATION","N",173024,12,-2
4,"SANITATION","W",173024,12,-2
4,"SANITATION","W",173027,12,-2
3,"SANITATION","W",173027,12,-2
2,"SANITATION","N",173024,1,-1
1,"SANITATION","W",173027,1,-1
1,"SANITATION","W",173027,1,-1
2,"SANITATION","D",173027,1,-1
8,"SANITATION","N",173024,1,-1
7,"SANITATION","D",173024,1,-1
3,"SANITATION","D",173024,1,-1
56,"GROUNDS","N",174362,1,-1
10,"SANITATION","W",173024,1,-1
1,"SANITATION","W",173024,1,-1
1,"SANITATION","D",173027,1,-1
6,"SANITATION","D",173027,1,-1
3,"SANITATION","W",173027,1,-1
3,"SANITATION","N",173027,1,-1
3,"SANITATION","W",173027,1,-1
3,"SANITATION","D",173024,1,-1
1,"SANITATION","LSU",173033,1,-1
1,"SANITATION","LSU",173027,1,-1
2,"SANITATION","W",173024,1,-1
2,"SANITATION","D",173027,1,-1
3,"SANITATION","W",173024,1,-1
3,"SANITATION","W",173024,1,-1
2,"SANITATION","W",173024,1,-1
1,"SANITATION","W",173024,1,-1
1,"SANITATION","N",173024,1,-1
7,"BLIGHT","W",173034,1,-1
2,"BLIGHT","W",173034,1,-1
4,"SANITATION","W",173024,1,-1
3,"SANITATION","D",173027,1,-1
6,"BLIGHT","W",173034,1,-1
1,"SANITATION","W",173027,1,-1
2,"SANITATION","LSU",173024,1,-1
2,"SANITATION","LSU",173027,1,-1
1,"SANITATION","W",173027,1,-1
2,"SANITATION","D",173024,1,-1
5,"SANITATION","D",173027,2,-1
5,"SANITATION","D",173024,2,-1
2,"SANITATION","W",173024,2,-1
5,"SANITATION","N",173024,2,-1
4,"SANITATION","N",173024,2,-1
3,"SANITATION","D",173027,2,-1
5,"SANITATION","D",173027,2,-1
5,"BLIGHT","W",173034,2,-1
2,"SANITATION","D",173024,2,-1
38,"BLIGHT","D",173034,2,-1
6,"SANITATION","W",173023,2,-1
5,"SANITATION","W",173024,2,-1
2,"SANITATION","W",173024,2,-1
5,"SANITATION","W",173024,2,-1
4,"SANITATION","D",173024,2,-1
4,"SANITATION","N",173024,2,-1
4,"SANITATION","D",173024,2,-1
4,"SANITATION","W",173024,2,-1
3,"SANITATION","W",173024,2,-1
1,"SANITATION","LSU",173024,2,-1
3,"SANITATION","W",173024,2,-1
3,"SANITATION","W",173024,2,-1
2,"SANITATION","W",173024,2,-1
1,"SANITATION","N",173027,2,-1
1,"SANITATION","LSU",173024,2,-1
4,"SANITATION","W",173024,2,-1
13,"SANITATION","D",173024,2,-1
5,"SANITATION","N",173027,2,-1
3,"SANITATION","W",173024,2,-1
37,"SANITATION","D",173027,2,-1
2,"SANITATION","D",173027,2,-1
2,"SANITATION","W",173024,2,-1
4,"SANITATION","LSU",173024,2,-1
2,"SANITATION","W",173027,2,-1
35,"GROUNDS","N",174362,2,-1
35,"GROUNDS","N",174362,2,-1
14,"SANITATION","N",173024,2,-1
5,"SANITATION","W",173024,2,-1
5,"SANITATION","N",173024,2,-1
2,"SANITATION","W",173027,2,-1
5,"SANITATION","W",173024,3,-1
57,"SANITATION","N",173027,3,-1
5,"SANITATION","N",173027,3,-1
5,"SANITATION","D",173024,3,-1
5,"SANITATION","D",173027,3,-1
3,"SANITATION","W",173027,3,-1
4,"SANITATION","N",173027,3,-1
4,"SANITATION","D",173027,3,-1
4,"SANITATION","W",173024,3,-1
53,"SANITATION","LSU",173024,3,-1
53,"SANITATION","N",173024,3,-1
53,"SANITATION","W",173027,3,-1
23,"GROUNDS","N",174362,3,-1
53,"SANITATION","D",173027,3,-1
52,"SANITATION","D",173027,3,-1
51,"SANITATION","W",173024,3,-1
51,"SANITATION","N",173024,3,-1
50,"SANITATION","LSU",173024,3,-1
50,"SANITATION","LSU",173024,3,-1
50,"SANITATION","D",173024,3,-1
50,"SANITATION","D",173024,3,-1
50,"SANITATION","D",173024,3,-1
49,"SANITATION","D",173024,3,-1
49,"SANITATION","D",173024,3,-1
49,"SANITATION","D",173024,3,-1
49,"SANITATION","D",173024,3,-1
49,"SANITATION","W",173027,3,-1
46,"SANITATION","D",173024,3,-1
46,"SANITATION","W",173027,3,-1
46,"SANITATION","D",173027,3,-1
46,"SANITATION","LSU",173024,3,-1
45,"SANITATION","D",173027,3,-1
45,"SANITATION","D",173027,3,-1
44,"SANITATION","W",173027,3,-1
44,"SANITATION","W",173027,3,-1
44,"SANITATION","W",173024,3,-1
43,"SANITATION","W",173027,3,-1
43,"SANITATION","W",173024,3,-1
42,"SANITATION","N",173027,3,-1
42,"SANITATION","W",173024,3,-1
42,"SANITATION","D",173024,3,-1
39,"SANITATION","W",173024,3,-1
39,"SANITATION","D",173024,3,-1
28,"SANITATION","D",173024,3,-1
38,"SANITATION","W",173024,3,-1
38,"SANITATION","D",173027,3,-1
38,"SANITATION","W",173027,3,-1
37,"SANITATION","N",173027,3,-1
36,"SANITATION","LSU",173024,3,-1
36,"SANITATION","W",173027,3,-1
35,"SANITATION","W",173024,3,-1
32,"SANITATION","W",173024,3,-1
32,"SANITATION","D",173027,3,-1
31,"SANITATION","N",173024,3,-1
31,"SANITATION","W",173024,3,-1
31,"SANITATION","W",173027,3,-1
31,"SANITATION","LSU",173024,3,-1
29,"SANITATION","W",173024,3,-1
29,"SANITATION","W",173024,3,-1
28,"SANITATION","D",173024,3,-1
45,"SANITATION","W",173027,4,-1
41,"SANITATION","D",173024,4,-1
40,"SANITATION","LSU",173024,4,-1
40,"SANITATION","W",173027,4,-1
40,"SANITATION","N",173024,4,-1
48,"BLIGHT","W",173034,4,-1
40,"SANITATION","W",173024,4,-1
39,"SANITATION","LSU",173024,4,-1
39,"SANITATION","W",173024,4,-1
35,"SANITATION","D",173024,4,-1
35,"SANITATION","D",173027,4,-1
35,"SANITATION","W",173024,4,-1
33,"SANITATION","D",173024,4,-1
33,"SANITATION","D",173027,4,-1
33,"SANITATION","W",173024,4,-1
29,"SANITATION","LSU",173027,4,-1
28,"SANITATION","W",173024,4,-1
28,"SANITATION","W",173024,4,-1
27,"SANITATION","D",173027,4,-1
26,"SANITATION","LSU",173024,4,-1
25,"SANITATION","D",173027,4,-1
22,"SANITATION","N",173024,4,-1
22,"SANITATION","W",173024,4,-1
22,"SANITATION","W",173027,4,-1
21,"SANITATION","W",173027,4,-1
20,"SANITATION","W",173024,4,-1
19,"SANITATION","N",173024,4,-1
18,"SANITATION","D",173024,4,-1
51,"SANITATION","W",173027,5,-1
12,"SANITATION","W",173027,5,-1
11,"SANITATION","W",173024,5,-1
14,"SANITATION","W",173027,5,-1
18,"SANITATION","W",173024,5,-1
18,"SANITATION","N",173027,5,-1
17,"SANITATION","D",173024,5,-1
16,"SANITATION","W",173024,5,-1
16,"SANITATION","W",173024,5,-1
16,"SANITATION","N",173024,5,-1
16,"SANITATION","N",173027,5,-1
15,"SANITATION","N",173027,5,-1
15,"SANITATION","LSU",173024,5,-1
14,"SANITATION","D",173024,5,-1
14,"SANITATION","W",173027,5,-1
11,"SANITATION","W",173024,5,-1
11,"SANITATION","W",173027,5,-1
11,"SANITATION","D",173024,5,-1
30,"SANITATION","LSU",173024,5,-1
3,"GROUNDS","W",174362,5,-1
30,"SANITATION","N",173024,5,-1
29,"BLIGHT","W",173034,5,-1
29,"SANITATION","D",173024,5,-1
28,"SANITATION","N",173024,5,-1
28,"SANITATION","N",173024,5,-1
27,"SANITATION","LSU",173024,5,-1
24,"SANITATION","W",173024,5,-1
4,"SANITATION","D",173033,5,-1
24,"SANITATION","W",173027,5,-1
23,"SANITATION","W",173027,5,-1
23,"SANITATION","N",173024,5,-1
22,"SANITATION","W",173024,5,-1
21,"SANITATION","D",173024,5,-1
20,"SANITATION","W",173024,5,-1
20,"SANITATION","W",173027,5,-1
15,"SANITATION","LSU",173024,5,-1
15,"SANITATION","D",173024,5,-1
14,"SANITATION","LSU",173024,6,-1
14,"SANITATION","D",173027,6,-1
14,"SANITATION","D",173027,6,-1
10,"SANITATION","W",173026,6,-1
10,"SANITATION","D",173027,6,-1
10,"SANITATION","N",173024,6,-1
1,"SANITATION","N",173033,6,-1
8,"SANITATION","LSU",173024,6,-1
8,"SANITATION","D",173024,6,-1
8,"SANITATION","W",173024,6,-1
8,"SANITATION","LSU",173024,6,-1
8,"SANITATION","W",173024,6,-1
7,"SANITATION","D",173024,6,-1
6,"SANITATION","LSU",173024,6,-1
6,"SANITATION","W",173027,6,-1
6,"SANITATION","D",173024,6,-1
6,"SANITATION","LSU",173024,6,-1
6,"SANITATION","D",173027,6,-1
44,"SANITATION","LSU",173024,6,-1
44,"SANITATION","W",173024,6,-1
44,"SANITATION","W",173024,6,-1
44,"SANITATION","LSU",173024,6,-1
44,"SANITATION","W",173027,6,-1
43,"SANITATION","D",173024,6,-1
41,"SANITATION","D",173024,6,-1
41,"SANITATION","W",173027,6,-1
41,"SANITATION","LSU",173027,6,-1
41,"SANITATION","D",173027,6,-1
40,"SANITATION","D",173027,6,-1
10,"SANITATION","D",173027,6,-1
37,"SANITATION","W",173024,6,-1
37,"SANITATION","W",173024,6,-1
37,"SANITATION","LSU",173024,6,-1
37,"SANITATION","W",173027,6,-1
36,"SANITATION","W",173024,6,-1
36,"SANITATION","W",173024,6,-1
36,"SANITATION","LSU",173027,6,-1
36,"SANITATION","W",173033,6,-1
35,"SANITATION","W",173027,6,-1
34,"SANITATION","W",173024,6,-1
28,"GROUNDS","W",174362,6,-1
29,"SANITATION","D",173027,6,-1
30,"SANITATION","LSU",173024,6,-1
30,"SANITATION","LSU",173024,6,-1
28,"SANITATION","LSU",173027,6,-1
28,"SANITATION","W",173027,6,-1
28,"SANITATION","LSU",173024,6,-1
27,"SANITATION","N",173027,6,-1
16,"SANITATION","N",173027,7,-1
15,"SANITATION","LSU",173027,7,-1
23,"SANITATION","LSU",173033,7,-1
15,"SANITATION","LSU",173024,7,-1
15,"SANITATION","W",173024,7,-1
15,"SANITATION","N",173024,7,-1
14,"SANITATION","W",173027,7,-1
21,"SANITATION","N",173027,7,-1
21,"SANITATION","W",173024,7,-1
21,"SANITATION","LSU",173024,7,-1
21,"SANITATION","W",173024,7,-1
20,"SANITATION","W",173024,7,-1
20,"SANITATION","N",173027,7,-1
20,"SANITATION","W",173027,7,-1
20,"SANITATION","W",173024,7,-1
17,"SANITATION","LSU",173024,7,-1
17,"SANITATION","W",173027,7,-1
17,"SANITATION","D",173027,7,-1
9,"GROUNDS","W",174362,7,-1
17,"SANITATION","LSU",173027,7,-1
16,"SANITATION","LSU",173024,7,-1
16,"SANITATION","LSU",173027,7,-1
16,"SANITATION","LSU",173024,7,-1
15,"SANITATION","W",173027,7,-1
15,"SANITATION","LSU",173024,7,-1
15,"SANITATION","N",173024,7,-1
